,Timestamp,Checker,Benchmark,Total steps,Guest cycles,Setup time,Guest loading time,Preprocessing time,Proving time,Verification time,Total time,Tokens
53,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/42.erc20transfer_success_total/42.erc20transfer_success_tm_0.mm,1291045.0,,,,,108.454707348,4.322334149,,2241
54,2024-11-03 09:41:27,cairo,small/hol/hol_exlimd.mm,2263612.0,,,,,223.7838232,9.004576808,,2279
55,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/39.erc20transfer_success_total/39.erc20transfer_success_tm_0.mm,1691002.0,,,,,113.193441955,4.316790047,,3014
56,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/5.erc20transfer_success_total/5.erc20transfer_success_tm_0.mm,1844830.0,,,,,111.8106997,4.318198647,,3255
57,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/29.erc20transfer_success_total/29.erc20transfer_success_tm_0.mm,1864905.0,,,,,112.899382375,4.319805648,,3351
58,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/41.erc20transfer_success_total/41.erc20transfer_success_tm_0_1.mm,1461558.0,,,,,110.54467219,4.314908487,,3365
59,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/43.erc20transfer_success_total/43.erc20transfer_success_tm_0_1.mm,1461558.0,,,,,112.492318909,4.318352278,,3365
60,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/28.erc20transfer_success_total/28.erc20transfer_success_tm_0_1.mm,1461558.0,,,,,115.478268518,4.32550176,,3365
61,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/3.erc20transfer_success_total/3.erc20transfer_success_tm_0.mm,2054685.0,,,,,110.909179272,4.320302707,,3604
62,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/16.erc20transfer_success_total/16.erc20transfer_success_tm_0_1.mm,1599413.0,,,,,109.949798429,4.318096198,,3656
63,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/4.erc20transfer_success_total/4.erc20transfer_success_tm_0.mm,2099313.0,,,,,224.990615761,8.993971105,,3684
64,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/36.erc20transfer_success_total/36.erc20transfer_success_tm_0_2.mm,1381410.0,,,,,110.982525046,4.317171197,,3758
65,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/12.erc20transfer_success_total/12.erc20transfer_success_tm_0_2.mm,1510600.0,,,,,111.222737839,4.324251979,,4048
66,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/18.erc20transfer_success_total/18.erc20transfer_success_tm_0.mm,2337166.0,,,,,225.970780993,9.002140567,,4155
67,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/20.erc20transfer_success_total/20.erc20transfer_success_tm_0_4.mm,1775564.0,,,,,111.285855429,4.318214937,,4661
68,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/6.erc20transfer_success_total/6.erc20transfer_success_tm_0_2.mm,1775564.0,,,,,111.7157265,4.32364748,,4661
69,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/22.erc20transfer_success_total/22.erc20transfer_success_tm_0_2.mm,1775564.0,,,,,110.749306573,4.321932039,,4661
70,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/36.erc20transfer_success_total/36.erc20transfer_success_tm_0_1.mm,2384097.0,,,,,226.929940017,8.985400482,,5260
71,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/16.erc20transfer_success_total/16.erc20transfer_success_tm_0_3.mm,2384097.0,,,,,224.892727872,9.005213629,,5260
72,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/20.erc20transfer_success_total/20.erc20transfer_success_tm_0_5.mm,3786968.0,,,,,227.669353834,8.993383905,,5640
73,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/23.erc20transfer_success_total/23.erc20transfer_success_tm_0_2.mm,3786968.0,,,,,228.318075053,8.991784404,,5640
74,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/45.erc20transfer_success_total/45.erc20transfer_success_tm_0_3.mm,3786968.0,,,,,229.588024824,8.992159023,,5640
75,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/42.erc20transfer_success_total/42.erc20transfer_success_tm_0_5.mm,2753487.0,,,,,233.73884936,9.015305851,,5656
76,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/4.erc20transfer_success_total/4.erc20transfer_success_tm_0_5.mm,2984289.0,,,,,232.920369359,9.01139749,,5691
77,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/32.erc20transfer_success_total/32.erc20transfer_success_tm_0_3.mm,2279157.0,,,,,235.498393571,9.019319112,,6022
78,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/44.erc20transfer_success_total/44.erc20transfer_success_tm_0_4.mm,2279157.0,,,,,229.455772694,9.019106922,,6022
79,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/11.erc20transfer_success_total/11.erc20transfer_success_tm_0_4.mm,2279157.0,,,,,232.504829301,9.020545473,,6022
80,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/32.erc20transfer_success_total/32.erc20transfer_success_tm_0_4.mm,2279157.0,,,,,232.115789842,9.016076842,,6022
81,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/45.erc20transfer_success_total/45.erc20transfer_success_tm_0_5.mm,2279157.0,,,,,231.585225758,9.023935854,,6022
82,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/3.erc20transfer_success_total/3.erc20transfer_success_tm_0_4.mm,2279157.0,,,,,229.913892974,9.012774581,,6022
83,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/34.erc20transfer_success_total/34.erc20transfer_success_tm_0_5.mm,2279157.0,,,,,235.209397212,9.019880473,,6022
84,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/40.erc20transfer_success_total/40.erc20transfer_success_tm_0_5.mm,2279157.0,,,,,228.749010997,9.014935731,,6022
85,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/17.erc20transfer_success_total/17.erc20transfer_success_tm_0_5.mm,2279157.0,,,,,228.314452343,9.017444282,,6022
86,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/35.erc20transfer_success_total/35.erc20transfer_success_tm_0_7.mm,2279157.0,,,,,229.993913358,9.020148862,,6022
87,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/41.erc20transfer_success_total/41.erc20transfer_success_tm_0_5.mm,2324290.0,,,,,232.231388697,9.025480155,,6023
88,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/31.erc20transfer_success_total/31.erc20transfer_success_tm_0_7.mm,2324290.0,,,,,232.029181005,9.01052145,,6023
89,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/41.erc20transfer_success_total/41.erc20transfer_success_tm_0_6.mm,2324290.0,,,,,230.84164035,9.019063932,,6023
90,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/43.erc20transfer_success_total/43.erc20transfer_success_tm_0_6.mm,2324290.0,,,,,229.156689202,9.018116812,,6023
91,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/18.erc20transfer_success_total/18.erc20transfer_success_tm_0_5.mm,2324290.0,,,,,230.90883506,9.015174611,,6023
92,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/9.erc20transfer_success_total/9.erc20transfer_success_tm_0_6.mm,3232797.0,,,,,236.363110007,9.014591082,,6249
93,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/10.erc20transfer_success_total/10.erc20transfer_success_tm_0_6.mm,3232797.0,,,,,230.861444105,9.0133402,,6249
94,2024-11-05 09:21:15,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/45.erc20transfer_success_total/45.erc20transfer_success_tm_0_6.mm,3232797.0,,,,,228.486650016,9.102391418,,6249
95,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/16.erc20transfer_success_total/16.erc20transfer_success_tm_0_4.mm,2311387.0,,,,,229.435536727,9.00877154,,6266
96,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/32.erc20transfer_success_total/32.erc20transfer_success_tm_0_3.mm,4835498.0,,,,,485.364403439,18.93332934,,7193
97,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/42.erc20transfer_success_total/42.erc20transfer_success_tm_0_4.mm,4835498.0,,,,,480.625677842,18.990180558,,7193
98,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/45.erc20transfer_success_total/45.erc20transfer_success_tm_0_5.mm,4835498.0,,,,,499.795311314,18.727646557,,7193
99,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/27.erc20transfer_success_total/27.erc20transfer_success_tm_0_5.mm,4835498.0,,,,,482.889098317,18.89987651,,7193
100,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/25.erc20transfer_success_total/25.erc20transfer_success_tm_0_7.mm,4835498.0,,,,,488.153163366,18.711609882,,7193
101,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/30.erc20transfer_success_total/30.erc20transfer_success_tm_0_5.mm,4835498.0,,,,,489.619936166,18.806564311,,7193
102,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/44.erc20transfer_success_total/44.erc20transfer_success_tm_0_5.mm,4835498.0,,,,,489.881204497,18.945007023,,7193
103,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/37.erc20transfer_success_total/37.erc20transfer_success_tm_0_5.mm,4835498.0,,,,,485.416128485,18.715886533,,7193
104,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/45.erc20transfer_success_total/45.erc20transfer_success_tm_0_4.mm,4835498.0,,,,,496.59275142,18.937521431,,7193
105,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/11.erc20transfer_success_total/11.erc20transfer_success_tm_0_4.mm,4835498.0,,,,,506.769207589,18.849353994,,7193
106,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/33.erc20transfer_success_total/33.erc20transfer_success_tm_0_6.mm,4835498.0,,,,,496.227185067,18.885891525,,7193
107,2024-11-03 09:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/18.erc20transfer_success_total/18.erc20transfer_success_tm_0_0.mm,4871256.0,,,,,487.243883386,18.893164608,,7194
